Column,Type,Example,Description
user_id,String,007d3f75bc99380eb6a9eea7a9c03c5e,The user ID
usage_date,Date,2023-06-04,Start date of the Screentime period (week)
app_name,String,MSR,Name of the app
duration_minutes,Integer,1900-02-14,Foreground minutes for the app
app_id,String,com.measureprotocol.contributor.production,The App Store app ID
platform,String,ios,Always set to ios
