user_id,usage_week,foreground_min,platform
ec769010d08838f69b265ace7e189d05,2023-05-21,2250,android
7a923aa7a40c3a7bbe7f76e298fc2655,2023-04-30,4960,android
fdbc43bc71313739bbbf4516eb5a888e,2023-04-30,674,android
0ddde64285e93188996d006b251006f8,2023-05-14,6132,android
38c3530b8f1d34fa9bdebfd9defd0077,2023-05-21,1422,android
3f8bdc8df60638a593799bad7d4ae8b1,2023-05-28,3448,android
38302b671fad30edbcac8d0516bff1a0,2023-05-14,3744,android
036588da143231ecad83924b0d2bcc9d,2023-05-28,56,android
7787758fb5673bcca0c2a33717004f9e,2023-05-21,2316,android
74b2d486458132d3acb74a42b7b011e9,2023-05-21,6418,android
4cc20de3115734e195a78d4129e12aa9,2023-04-30,3220,android
f8d656bc34323684a159a4a664aa28be,2023-04-30,2086,android
8c5ad2031eb43228ba9e7f92e6ac14ff,2023-05-21,2100,android
658b5e416fce3c29a1839e8a26898f3a,2023-05-28,110,android
